Stations_id;Bezugszeitraum;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      4642;1981-2010;        49;        72;       114;       177;       230;       214;       225;       206;       149;       111;        52;        38;      1637;
      4651;1981-2010;        42;        67;       101;       158;       198;       190;       202;       190;       133;        95;        41;        32;      1449;
      4692;1981-2010;        46;        74;       108;       164;       192;       193;       209;       193;       137;        97;        46;        35;      1494;
      4703;1981-2010;        61;        85;       125;       164;       196;       210;       234;       218;       161;       110;        64;        46;      1674;
      4706;1981-2010;        48;        78;       126;       178;       217;       213;       243;       218;       159;       115;        50;        41;      1686;
      4745;1981-2010;        46;        69;       104;       166;       220;       191;       210;       199;       135;       105;        51;        34;      1531;
      4887;1981-2010;        69;        85;       121;       172;       206;       219;       242;       225;       162;       111;        65;        49;      1727;
      4896;1981-2010;        42;        65;       111;       179;       234;       213;       228;       210;       144;       103;        55;        37;      1621;
      4926;1981-2010;        66;        88;       124;       169;       205;       218;       237;       223;       159;       112;        68;        51;      1720;
      4928;1981-2010;        70;        93;       126;       169;       201;       210;       242;       223;       161;       114;        75;        57;      1741;
      4931;1981-2010;        68;        89;       126;       164;       201;       214;       234;       220;       162;       112;        70;        52;      1712;
      5014;1981-2010;        44;        68;       107;       169;       215;       195;       210;       195;       141;       105;        50;        35;      1534;
      5017;1981-2010;        50;        75;       106;       162;       198;       190;       210;       201;       146;       106;        50;        40;      1534;
      5029;1981-2010;        47;        80;       119;       173;       202;       214;       234;       216;       157;       101;        51;        39;      1633;
      5064;1981-2010;        53;        76;       111;       166;       198;       195;       209;       192;       137;       108;        56;        41;      1542;
      5100;1981-2010;        46;        74;       120;       175;       202;       214;       232;       212;       153;        95;        46;        36;      1605;
      5111;1981-2010;        65;        87;       123;       168;       204;       199;       230;       211;       155;       119;        65;        48;      1674;
      5142;1981-2010;        49;        68;       122;       191;       245;       223;       246;       218;       157;       112;        52;        36;      1719;
      5155;1981-2010;        56;        87;       122;       170;       206;       215;       241;       219;       152;        96;        52;        42;      1659;
      5165;1981-2010;        46;        70;       108;       168;       216;       200;       214;       201;       146;       108;        52;        36;      1565;
      5185;1981-2010;        51;        80;       112;       170;       209;       209;       229;       213;       154;       108;        52;        36;      1623;
      5229;1981-2010;        67;        85;       122;       155;       187;       205;       227;       213;       161;       115;        71;        51;      1659;
      5279;1981-2010;        34;        63;        99;       159;       196;       190;       203;       190;       128;        86;        35;        24;      1407;
      5280;1981-2010;        42;        65;       108;       174;       227;       203;       220;       205;       143;       106;        51;        34;      1578;
      5371;1981-2010;        59;        82;       105;       164;       198;       196;       212;       201;       143;       106;        53;        48;      1567;
      5397;1981-2010;        46;        77;       108;       168;       207;       197;       221;       214;       154;       110;        45;        36;      1584;
      5426;1981-2010;        60;        86;       126;       173;       200;       212;       236;       220;       162;       119;        66;        52;      1711;
      5433;1981-2010;        47;        78;       118;       170;       196;       208;       227;       210;       153;       101;        52;        39;      1599;
      5440;1981-2010;        59;        85;       123;       179;       214;       218;       235;       221;       164;       112;        57;        44;      1711;
      5467;1981-2010;       115;       118;       130;       147;       172;       160;       193;       187;       153;       156;       105;        96;      1731;
      5540;1981-2010;        43;        75;       116;       174;       203;       209;       226;       212;       149;        96;        44;        33;      1580;
      5610;1981-2010;        51;        80;       104;       150;       184;       179;       196;       187;       133;        96;        48;        38;      1445;
      5629;1981-2010;        57;        77;       115;       178;       222;       212;       228;       215;       154;       116;        59;        45;      1678;
      5654;1981-2010;        49;        79;       120;       171;       212;       212;       236;       227;       164;       110;        54;        39;      1671;
      5664;1981-2010;        58;        80;       115;       151;       174;       191;       210;       202;       155;       110;        64;        40;      1550;
      5676;1981-2010;        48;        71;       109;       169;       216;       207;       217;       204;       145;       110;        50;        36;      1582;
      5692;1981-2010;        47;        79;       121;       178;       210;       216;       234;       220;       159;       102;        52;        37;      1655;
      5705;1981-2010;        54;        84;       119;       172;       207;       208;       229;       214;       158;       104;        52;        41;      1640;
      5717;1981-2010;        55;        78;       110;       161;       193;       187;       202;       187;       137;       108;        58;        45;      1521;
      5731;1981-2010;        59;        83;       123;       163;       192;       212;       240;       221;       160;       113;        62;        42;      1670;
      5745;1981-2010;        50;        70;       116;       183;       229;       216;       234;       213;       152;       112;        52;        37;      1664;
      5779;1981-2010;        49;        67;       101;       159;       198;       187;       207;       200;       140;       104;        40;        37;      1489;
      5792;1981-2010;       136;       139;       157;       166;       175;       154;       182;       175;       170;       178;       130;       118;      1878;
      5906;1981-2010;        55;        84;       125;       182;       212;       220;       236;       223;       165;       109;        59;        45;      1715;
      6159;1981-2010;        44;        71;       110;       170;       213;       192;       205;       191;       139;       104;        51;        36;      1526;
     14311;1981-2010;        36;        75;       110;       149;       180;       181;       196;       190;       139;        97;        50;        26;      1430;
